Vigencia;Unidad;Codigo;Recurso;Concepto;Valor ene;Valor feb;Valor mar;Valor abr;Valor may;Valor jun;Valor jul;Valor ago;Valor sep;Valor oct;Valor nov;Valor dic
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.02.116.01.01.01;20;Pregrado - Inscripciones ;316506993;$ 0.00;$ 13,655,200.00;$ 0.00;$ 500.00;$ 1,579,100.00;$ 1,408,061,200.00;$ 18,119,400.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.02.116.01.01.02;20;Pregrado - Derechos de grado;451761696;$ 2,100,800.00;$ 87,369,100.00;$ 34,802,200.00;$ 34,429,040.00;$ 162,637,100.00;$ 241,247,200.00;$ 22,234,300.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.02.116.01.01.03;20;Pregrado - Matrículas;5525977978;$ 613,360,177.00;$ 713,114,694.00;$ 766,096,349.00;$ 714,302,694.00;$ 253,043,466.00;$ 45,547,742.00;$ 9,236,364.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.02.116.01.01.04;20;Pregrado - Certificaciones, constancias académicas y derechos complementarios;4231617827;$ 1,001,702,719.00;$ 569,098,390.00;$ 71,579,050.00;$ 72,588,001.00;$ 148,934,951.00;$ 78,410,000.00;$ 19,480,900.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.03.001.05;20;Sanciones administrativas;22586143;$ 2,338,600.00;$ 619,350.00;$ 1,540,400.00;$ 1,576,900.00;$ 2,228,700.00;$ 7,817,600.00;$ 371,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.05.002.06;20;"Comercio y distribución; alojamiento; servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua";4173694824;$ 23,250,800.00;$ 496,523,151.00;$ 533,946,782.00;$ 425,366,082.00;$ 475,572,314.00;$ 120,414,300.00;$ 513,850.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.05.002.07;20;"Servicios financieros y servicios conexos; servicios inmobiliarios; y servicios de arrendamiento y leasing";235081376;$ 1,708,200.00;$ 8,819,950.00;$ 22,118,546.00;$ 30,747,901.67;$ 42,802,375.06;$ 12,334,635.67;$ 4,348,836.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.05.002.01;20;"Minerales; electricidad, gas y agua";129404752;$ 0.00;$ 0.00;$ 5,184,001.00;$ 27,636,683.00;$ 19,598,969.34;$ 9,033,220.00;$ 11,035,584.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.05.002.04;20;Productos metálicos, maquinaria y equipo;5025174;$ 0.00;$ 0.00;$ 170,000.00;$ 100,000.00;$ 70,000.00;$ 5,962,590.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.05.02.002;20;Rendimientos Financieros - Propios;1822006660;$ 164,066,082.26;$ 59,273,438.88;$ 178,228,500.27;$ 327,305,713.57;$ 364,491,091.27;$ 345,967,613.32;$ 328,843.78;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.002;20;Recursos del balance - Propios;1579085708;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.13.01.001;20;Ingresos de Vigencias Anteriores - Licencias e Incapacidades;331465375;$ 14,003,067.00;$ 30,481,961.00;$ 29,210,257.00;$ 53,288,387.00;$ 935,481.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.13.01.003;20;Ingresos de Vigencias Anteriores - Servicios Públicos;0;$ 0.00;$ 10,533,812.00;$ 25,000.00;$ 0.00;-$ 25,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
