Unidad;Código concepto;Concepto;Recurso;Valor inicial;Valor aforo;Total recaudo;Fecha final
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.05.002.01;"Minerales; electricidad, gas y agua";20-Propios;$ 129,404,752.00;$ 129,404,752.00;$ 83,257,428.34;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.05.002.04;Productos metálicos, maquinaria y equipo;20-Propios;$ 5,025,174.00;$ 5,025,174.00;$ 8,587,590.00;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.2.05.02.002;Rendimientos Financieros - Propios;20-Propios;$ 1,822,006,660.00;$ 1,822,006,660.00;$ 2,005,694,254.70;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.002;Recursos del balance - Propios;20-Propios;$ 0.00;$ 1,579,085,707.80;$ 1,579,085,707.80;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.2.13.01.001;Ingresos de Vigencias Anteriores - Licencias e Incapacidades;20-Propios;$ 331,465,375.00;$ 331,465,375.00;$ 125,936,121.00;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.2.13.01.003;Ingresos de Vigencias Anteriores - Servicios Públicos;20-Propios;$ 0.00;$ 0.00;$ 10,533,812.00;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.2.13.01.007;Ingresos de Vigencias Anteriores - Propios;20-Propios;$ 0.00;$ 0.00;$ 13,845,388.00;25/08/2026
04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.01.01;Pregrado - Inscripciones ;20-Propios;$ 0.00;$ 0.00;$ 13,655,200.00;25/08/2026
04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.01.03;Pregrado - Matrículas;20-Propios;$ 0.00;$ 0.00;$ 2,525,510.00;25/08/2026
04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.01.04;Pregrado - Certificaciones, constancias académicas y derechos complementarios;20-Propios;$ 0.00;$ 0.00;$ 3,624,500.00;25/08/2026
05 - CIENCIAS BASICAS;1.1.02.02.116.01.01.03;Pregrado - Matrículas;20-Propios;$ 0.00;$ 25,044,900.00;$ 25,044,900.00;25/08/2026
06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;1.1.02.02.116.01.01.03;Pregrado - Matrículas;20-Propios;$ 0.00;$ 11,310,600.00;$ 17,773,800.00;25/08/2026
08 - CIENCIAS AGROPECUARIAS;1.1.02.02.116.01.01.03;Pregrado - Matrículas;20-Propios;$ 0.00;$ 0.00;$ 4,473,300.00;25/08/2026
09 - INGENIERIA;1.1.02.02.116.01.01.03;Pregrado - Matrículas;20-Propios;$ 0.00;$ 94,437,340.80;$ 152,068,530.00;25/08/2026
10 - DERECHO Y CIENCIAS SOCIALES;1.1.02.02.116.01.01.03;Pregrado - Matrículas;20-Propios;$ 0.00;$ 43,357,500.00;$ 43,895,900.00;25/08/2026
12 - SECCIONAL DUITAMA;1.1.02.02.116.01.01.03;Pregrado - Matrículas;20-Propios;$ 0.00;$ 38,874,617.00;$ 53,081,900.00;25/08/2026
13 - SECCIONAL SOGAMOSO;1.1.02.02.116.01.01.03;Pregrado - Matrículas;20-Propios;$ 0.00;$ 39,540,000.00;$ 43,043,000.00;25/08/2026
14 - SECCIONAL CHIQUINQUIRA;1.1.02.02.116.01.01.03;Pregrado - Matrículas;20-Propios;$ 0.00;$ 0.00;$ 390,000.00;25/08/2026
11 - ESTUDIOS TECNOLOGICOS Y A DISTANCIA;1.1.02.02.116.01.01.01;Pregrado - Inscripciones ;20-Propios;$ 0.00;$ 0.00;$ 8,403,200.00;25/08/2026
11 - ESTUDIOS TECNOLOGICOS Y A DISTANCIA;1.1.02.02.116.01.01.04;Pregrado - Certificaciones, constancias académicas y derechos complementarios;20-Propios;$ 0.00;$ 0.00;$ 1,049,000.00;25/08/2026
15 - SEDE REGIONAL AGUAZUL;1.1.02.02.116.01.01.01;Pregrado - Inscripciones ;20-Propios;$ 0.00;$ 0.00;$ 4,989,400.00;25/08/2026
15 - SEDE REGIONAL AGUAZUL;1.1.02.02.116.01.01.03;Pregrado - Matrículas;20-Propios;$ 0.00;$ 0.00;$ 3,321,030.00;25/08/2026
15 - SEDE REGIONAL AGUAZUL;1.1.02.02.116.01.01.04;Pregrado - Certificaciones, constancias académicas y derechos complementarios;20-Propios;$ 0.00;$ 0.00;$ 6,720,000.00;25/08/2026
15 - SEDE REGIONAL AGUAZUL;1.1.02.03.001.05;Sanciones administrativas;20-Propios;$ 0.00;$ 0.00;$ 777,700.00;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.02;Devolución IVA - Instituciones de Educación Superior;21-Devolucion IVA;$ 4,587,997,825.00;$ 4,587,997,825.00;$ 4,672,202,857.00;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.015;Recursos del balance - Devolucion IVA;21-Devolucion IVA;$ 0.00;$ 953,393,273.00;$ 953,393,273.00;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.02.116.01.02.01;Posgrado - Inscripciones ;31-Posgrados;$ 0.00;$ 0.00;$ 24,372,100.00;25/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.02.116.01.02.03;Posgrado - Matrículas;31-Posgrados;$ 0.00;$ 0.00;$ 6,301,886.00;25/08/2026
04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.02.01;Posgrado - Inscripciones ;31-Posgrados;$ 212,479,362.00;$ 212,479,362.00;$ 178,695,300.00;25/08/2026
04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.02.02;Posgrado - Derechos de grado;31-Posgrados;$ 372,975,795.00;$ 372,975,795.00;$ 162,141,900.00;25/08/2026
04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.02.03;Posgrado - Matrículas;31-Posgrados;$ 10,485,147,378.00;$ 10,527,470,904.00;$ 7,651,844,871.00;25/08/2026
04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.02.04;Posgrado - Certificaciones, constancias académicas y derechos complementarios;31-Posgrados;$ 14,917,592.00;$ 14,917,592.00;$ 47,794,100.00;25/08/2026
04 - CIENCIAS DE LA EDUCACION;1.2.10.02.003;Recursos del balance - Posgrados;31-Posgrados;$ 0.00;$ 179,478,068.00;$ 179,478,068.00;25/08/2026
05 - CIENCIAS BASICAS;1.1.02.02.116.01.02.01;Posgrado - Inscripciones ;31-Posgrados;$ 30,612,465.00;$ 30,612,465.00;$ 58,962,600.00;25/08/2026
05 - CIENCIAS BASICAS;1.1.02.02.116.01.02.02;Posgrado - Derechos de grado;31-Posgrados;$ 41,215,292.00;$ 41,215,292.00;$ 23,638,500.00;25/08/2026
05 - CIENCIAS BASICAS;1.1.02.02.116.01.02.03;Posgrado - Matrículas;31-Posgrados;$ 1,408,521,574.00;$ 1,415,831,303.00;$ 1,672,875,590.00;25/08/2026
05 - CIENCIAS BASICAS;1.1.02.02.116.01.02.04;Posgrado - Certificaciones, constancias académicas y derechos complementarios;31-Posgrados;$ 1,273,178.00;$ 1,273,178.00;$ 7,620,500.00;25/08/2026
06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;1.1.02.02.116.01.02.01;Posgrado - Inscripciones ;31-Posgrados;$ 111,276,000.00;$ 111,276,000.00;$ 80,063,600.00;25/08/2026
06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;1.1.02.02.116.01.02.02;Posgrado - Derechos de grado;31-Posgrados;$ 218,394,000.00;$ 218,394,000.00;$ 155,488,700.00;25/08/2026
06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;1.1.02.02.116.01.02.03;Posgrado - Matrículas;31-Posgrados;$ 5,018,300,000.00;$ 5,025,000,000.00;$ 3,941,968,748.00;25/08/2026
06 - CIENCIAS ECONOMICAS, ADMINISTRATIVAS Y CONTABLES;1.1.02.02.116.01.02.04;Posgrado - Certificaciones, constancias académicas y derechos complementarios;31-Posgrados;$ 0.00;$ 0.00;$ 16,859,500.00;25/08/2026
07 - CIENCIAS DE LA SALUD;1.1.02.02.116.01.02.01;Posgrado - Inscripciones ;31-Posgrados;$ 21,238,620.00;$ 21,238,620.00;$ 16,975,100.00;25/08/2026
07 - CIENCIAS DE LA SALUD;1.1.02.02.116.01.02.02;Posgrado - Derechos de grado;31-Posgrados;$ 33,309,900.00;$ 33,309,900.00;$ 13,132,500.00;25/08/2026
07 - CIENCIAS DE LA SALUD;1.1.02.02.116.01.02.03;Posgrado - Matrículas;31-Posgrados;$ 2,205,929,622.00;$ 2,232,556,309.50;$ 1,789,597,604.00;25/08/2026
07 - CIENCIAS DE LA SALUD;1.1.02.02.116.01.02.04;Posgrado - Certificaciones, constancias académicas y derechos complementarios;31-Posgrados;$ 0.00;$ 0.00;$ 2,330,500.00;25/08/2026
07 - CIENCIAS DE LA SALUD;1.2.13.01.004;Ingresos de Vigencias Anteriores - Extension;31-Posgrados;$ 0.00;$ 0.00;$ 25,000.00;25/08/2026
08 - CIENCIAS AGROPECUARIAS;1.1.02.02.116.01.02.01;Posgrado - Inscripciones ;31-Posgrados;$ 44,900,440.00;$ 44,900,440.00;$ 62,407,900.00;25/08/2026
08 - CIENCIAS AGROPECUARIAS;1.1.02.02.116.01.02.02;Posgrado - Derechos de grado;31-Posgrados;$ 129,301,900.00;$ 129,301,900.00;$ 77,044,000.00;25/08/2026
08 - CIENCIAS AGROPECUARIAS;1.1.02.02.116.01.02.03;Posgrado - Matrículas;31-Posgrados;$ 2,008,442,150.00;$ 2,008,442,150.00;$ 1,958,250,160.00;25/08/2026
