Vigencia;Unidad;Gasto;Objeto;Tipo de Gastos;Código concepto;Código recurso;Código fuente;Concepto;Valor poa_inicial;Valor modificaciones;Valor programado_poa;Valor solicitudes;Valor disponible_poa
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.04.01;17;APN;Subsidio de alimentación administrativos;$ 0,00;$ 60.000.000,00;$ 60.000.000,00;$ 39.752.829,00;$ 20.247.171,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.04.01;20;ADM;Subsidio de alimentación administrativos;$ 2.952.957,00;$ 0,00;$ 2.952.957,00;$ 0,00;$ 2.952.957,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.04.01;31;ADM;Subsidio de alimentación administrativos;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.04.02;10.0;APN;Subsidio de alimentación trabajadores oficiales;$ 132.380.598,00;$ 84.434.336,00;$ 216.814.934,00;$ 216.814.934,00;$ 0,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.04.02;17;APN;Subsidio de alimentación trabajadores oficiales;$ 0,00;$ 60.000.000,00;$ 60.000.000,00;$ 31.961.496,00;$ 28.038.504,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.04.02;31;ADM;Subsidio de alimentación trabajadores oficiales;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.05.01;10.0;APN;Auxilio de transporte administrativos;$ 213.854.595,00;$ 630.613.895,00;$ 844.468.490,00;$ 843.970.300,00;$ 498.190,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.05.01;17;APN;Auxilio de transporte administrativos;$ 0,00;$ 160.000.000,00;$ 160.000.000,00;$ 128.259.016,00;$ 31.740.984,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.05.01;20;ADM;Auxilio de transporte administrativos;$ 3.002.414,00;$ 0,00;$ 3.002.414,00;$ 2.454.671,00;$ 547.743,00
2026;01 - ADMINISTRATIVA Y FINANCIERA;1. FUNCIONAMIENTO;01. GASTOS DE PERSONAL;2.1.1 Gastos de Personal;2.1.1.01.01.001.05.01;31;ADM;Auxilio de transporte administrativos;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00
