Unidad;Codigo;Recurso;Concepto;Valor ene;Valor feb;Valor mar;Valor abr;Valor may;Valor jun;Valor jul;Valor ago;Valor sep;Valor oct;Valor nov;Valor dic
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.12;16.2;Inversion PFC Plan de Fomento a la Calidad;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.05.02.014;16.2;Rendimientos Financieros - Inversion PFC;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 6,651,026.09;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.04;17;Devolucion de descuento por votacion;$ 376,234,900.00;$ 478,844,455.00;$ 478,844,455.00;$ 478,844,455.00;$ 478,844,455.00;$ 478,844,455.00;$ 478,844,455.00;$ 478,844,455.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.06.006.01.05;18;Articulo 87 CESU;$ 140,681,800.00;$ 179,049,568.00;$ 179,049,568.00;$ 179,049,568.00;$ 179,049,568.00;$ 179,049,568.00;$ 179,049,568.00;$ 179,049,568.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.02.015;20;Certificaciones y constancias;$ 5,746,650.00;$ 5,097,200.00;$ 4,590,800.00;$ 4,172,700.00;$ 5,982,050.00;$ 6,102,650.00;$ 7,124,500.00;$ 5,401,350.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.02.116.01.01.01;20;Pregrado - Inscripciones ;$ 0.00;$ 13,655,200.00;$ 0.00;$ 500.00;$ 1,579,100.00;$ 1,408,061,200.00;$ 108,191,200.00;$ 67,795,700.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.02.116.01.01.02;20;Pregrado - Derechos de grado;$ 2,100,800.00;$ 87,369,100.00;$ 34,802,200.00;$ 34,429,040.00;$ 162,637,100.00;$ 241,247,200.00;$ 90,866,100.00;$ 82,106,600.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.02.116.01.01.03;20;Pregrado - Matrículas;$ 613,360,177.00;$ 713,114,694.00;$ 766,096,349.00;$ 714,302,694.00;$ 253,043,466.00;$ 45,547,742.00;$ 155,104,811.00;$ 156,255,983.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.02.116.01.01.04;20;Pregrado - Certificaciones, constancias académicas y derechos complementarios;$ 1,001,702,719.00;$ 569,098,390.00;$ 71,579,050.00;$ 72,588,001.00;$ 148,934,951.00;$ 78,410,000.00;$ 808,337,375.00;$ 1,010,375,490.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.03.001.05;20;Sanciones administrativas;$ 2,338,600.00;$ 619,350.00;$ 1,540,400.00;$ 1,576,900.00;$ 2,228,700.00;$ 7,817,600.00;$ 5,033,300.00;$ 1,365,300.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.05.002.06;20;"Comercio y distribución; alojamiento; servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua";$ 23,250,800.00;$ 496,523,151.00;$ 533,946,782.00;$ 425,366,082.00;$ 475,572,314.00;$ 120,414,300.00;$ 15,956,900.00;$ 459,397,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.05.002.07;20;"Servicios financieros y servicios conexos; servicios inmobiliarios; y servicios de arrendamiento y leasing";$ 1,708,200.00;$ 8,819,950.00;$ 22,118,546.00;$ 30,747,901.67;$ 42,802,375.06;$ 12,334,635.67;$ 19,421,436.54;$ 17,733,104.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.05.002.01;20;"Minerales; electricidad, gas y agua";$ 0.00;$ 0.00;$ 5,184,001.00;$ 27,636,683.00;$ 19,598,969.34;$ 9,033,220.00;$ 14,145,906.00;$ 7,658,649.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.1.02.05.002.04;20;Productos metálicos, maquinaria y equipo;$ 0.00;$ 0.00;$ 170,000.00;$ 100,000.00;$ 70,000.00;$ 5,962,590.00;$ 585,000.00;$ 2,280,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.05.02.002;20;Rendimientos Financieros - Propios;$ 164,066,082.26;$ 59,273,438.88;$ 178,228,500.27;$ 327,305,713.57;$ 364,491,091.27;$ 345,967,613.32;$ 285,868,560.26;$ 280,560,226.11;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.10.02.002;20;Recursos del balance - Propios;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.13.01.001;20;Ingresos de Vigencias Anteriores - Licencias e Incapacidades;$ 14,003,067.00;$ 30,481,961.00;$ 29,210,257.00;$ 53,288,387.00;$ 935,481.00;$ 0.00;-$ 1,983,032.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.13.01.003;20;Ingresos de Vigencias Anteriores - Servicios Públicos;$ 0.00;$ 10,533,812.00;$ 25,000.00;$ 0.00;-$ 25,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
01 - ADMINISTRATIVA Y FINANCIERA;1.2.13.01.007;20;Ingresos de Vigencias Anteriores - Propios;$ 3,436,150.00;$ 28,920,876.00;$ 940,000.00;$ 0.00;$ 0.00;$ 1,367,638.00;$ 0.00;$ 106,497,503.34;$ 0.00;$ 0.00;$ 0.00;$ 0.00
04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.01.01;20;Pregrado - Inscripciones ;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 11,554,400.00;$ 787,800.00;$ 1,313,000.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
04 - CIENCIAS DE LA EDUCACION;1.1.02.02.116.01.01.03;20;Pregrado - Matrículas;$ 398,400.00;$ 980,800.00;$ 0.00;$ 0.00;$ 429,100.00;$ 0.00;$ 717,210.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00;$ 0.00
