Unidad;Referencia;Fecha compromiso;Tipo de Gasto;Código concepto;Código recurso;Concepto;Valor compromiso;Valor pago
09 - INGENIERIA;ORDENES DE COMPRA;20/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.01.003;32;Otros bienes transportables (excepto productos metálicos, maquinaria y equipo);$ 2,292,005.60;$ 2,292,005.60
09 - INGENIERIA;ORDENES DE COMPRA;29/07/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.01.003;32;Otros bienes transportables (excepto productos metálicos, maquinaria y equipo);$ 569,331.70;$ 0.00
09 - INGENIERIA;ORDENES DE COMPRA;29/07/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.01.003;32;Otros bienes transportables (excepto productos metálicos, maquinaria y equipo);$ 3,496,220.00;$ 0.00
09 - INGENIERIA;ORDENES DE COMPRA;20/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.01.004;32;Productos metálicos, maquinaria y equipo;$ 4,742,150.00;$ 4,742,150.00
09 - INGENIERIA;ORDENES DE COMPRA;29/07/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.01.004;32;Productos metálicos, maquinaria y equipo;$ 10,934,002.03;$ 0.00
09 - INGENIERIA;ORDENES DE COMPRA;29/07/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.01.004;32;Productos metálicos, maquinaria y equipo;$ 107,100.00;$ 0.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;6/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 33,552,000.00;$ 33,552,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;6/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 15,420,000.00;$ 15,420,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;6/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 15,420,000.00;$ 15,420,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;6/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 34,236,000.00;$ 34,236,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;6/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 15,420,000.00;$ 15,420,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;6/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 20,280,000.00;$ 20,280,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;6/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 32,442,000.00;$ 32,442,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;6/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 15,420,000.00;$ 15,420,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;6/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 15,420,000.00;$ 15,420,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;6/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 15,420,000.00;$ 15,420,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;6/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 20,280,000.00;$ 20,280,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;6/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 7,710,000.00;$ 7,710,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;6/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 12,850,000.00;$ 12,850,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;6/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 15,420,000.00;$ 15,420,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;6/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 15,420,000.00;$ 15,420,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;6/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 36,270,000.00;$ 36,270,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;6/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 20,280,000.00;$ 20,280,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;6/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 15,420,000.00;$ 15,420,000.00
09 - INGENIERIA;CONTRATOS;13/01/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 20,030,933.00;$ 0.00
09 - INGENIERIA;GASTOS DIRECTOS - LIQUIDACIONES;19/06/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 27,488,304.01;$ 27,488,304.01
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;1/07/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 16,900,000.00;$ 3,380,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;1/07/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 12,850,000.00;$ 2,570,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;1/07/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 12,850,000.00;$ 2,570,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;1/07/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 12,850,000.00;$ 2,570,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;1/07/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 15,420,000.00;$ 2,570,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;1/07/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 12,850,000.00;$ 2,570,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;1/07/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 16,900,000.00;$ 3,380,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;1/07/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 28,530,000.00;$ 5,706,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;1/07/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 27,035,000.00;$ 5,407,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;1/07/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 12,850,000.00;$ 2,570,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;1/07/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 12,850,000.00;$ 2,570,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;3/07/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 27,214,400.00;$ 4,846,400.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;3/07/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 29,419,000.00;$ 5,239,000.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;3/07/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 16,449,316.00;$ 2,929,316.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;6/07/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 12,507,316.00;$ 2,227,316.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;14/07/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 9,199,970.00;$ 1,199,970.00
09 - INGENIERIA;CONTRATOS DE PERSONAL - OPS;3/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 7,154,000.00;$ 0.00
09 - INGENIERIA;ORDENES DE SERVICIOS;28/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 6,426,000.00;$ 0.00
09 - INGENIERIA;ORDENES DE SERVICIOS;31/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 31,431,827.00;$ 0.00
09 - INGENIERIA;ORDENES DE SERVICIOS;31/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 4,028,745.00;$ 0.00
09 - INGENIERIA;ORDENES DE SERVICIOS;31/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 13,923,000.00;$ 0.00
09 - INGENIERIA;ORDENES DE SERVICIOS;31/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 37,710,607.34;$ 0.00
09 - INGENIERIA;ORDENES DE SERVICIOS;31/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 505,750.00;$ 0.00
09 - INGENIERIA;ORDENES DE SERVICIOS;31/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 7,247,100.00;$ 0.00
09 - INGENIERIA;ORDENES DE SERVICIOS;31/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 2,147,950.00;$ 0.00
09 - INGENIERIA;ORDENES DE SERVICIOS;31/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 13,328,000.00;$ 0.00
09 - INGENIERIA;ORDENES DE SERVICIOS;31/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 17,193,100.94;$ 0.00
09 - INGENIERIA;ORDENES DE SERVICIOS;31/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 44,567,166.00;$ 0.00
09 - INGENIERIA;ORDENES DE SERVICIOS;31/08/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.008;32;Servicios prestados a las empresas y servicios de producción ;$ 30,485,353.36;$ 0.00
09 - INGENIERIA;COMISIONES DE PERSONAL;18/02/2026;2.1.2 Gastos de Funcionamiento;2.1.2.02.02.010;32;Viáticos de los funcionarios en comisión;$ 71,058.00;$ 71,058.00
09 - INGENIERIA;GASTOS DIRECTOS - LIQUIDACIONES;9/02/2026;2.1.3 Transferencias Corrientes;2.1.3.07.03.013;32;Afiliación Riesgos Laborales contratistas Grado IV y V;$ 609,600.00;$ 609,600.00
09 - INGENIERIA;GASTOS DIRECTOS - LIQUIDACIONES;9/03/2026;2.1.3 Transferencias Corrientes;2.1.3.07.03.013;32;Afiliación Riesgos Laborales contratistas Grado IV y V;$ 735,500.00;$ 735,500.00
09 - INGENIERIA;GASTOS DIRECTOS - LIQUIDACIONES;9/04/2026;2.1.3 Transferencias Corrientes;2.1.3.07.03.013;32;Afiliación Riesgos Laborales contratistas Grado IV y V;$ 731,400.00;$ 731,400.00
09 - INGENIERIA;GASTOS DIRECTOS - LIQUIDACIONES;7/05/2026;2.1.3 Transferencias Corrientes;2.1.3.07.03.013;32;Afiliación Riesgos Laborales contratistas Grado IV y V;$ 731,400.00;$ 731,400.00
09 - INGENIERIA;GASTOS DIRECTOS - LIQUIDACIONES;5/06/2026;2.1.3 Transferencias Corrientes;2.1.3.07.03.013;32;Afiliación Riesgos Laborales contratistas Grado IV y V;$ 609,500.00;$ 609,500.00
09 - INGENIERIA;GASTOS DIRECTOS - LIQUIDACIONES;7/07/2026;2.1.3 Transferencias Corrientes;2.1.3.07.03.013;32;Afiliación Riesgos Laborales contratistas Grado IV y V;$ 487,600.00;$ 487,600.00
