Unidad;Tipo de Gasto;Auxiliar;Código concepto;Concepto;Recurso;Valor inicial;Valor apropiacion;Acumulado compromiso;Acumulado pago;Fecha final
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.01.001.08.02.03;Prima de vacaciones trabajadores oficiales;10.0 - Aportes Nacion - Funcionamiento;$ 1,155,251,570.00;$ 1,155,251,570.00;$ 80,726,232.00;$ 80,726,232.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.01.001.09;Prima técnica salarial;10.0 - Aportes Nacion - Funcionamiento;$ 661,681,179.00;$ 661,681,179.00;$ 419,146,567.00;$ 419,146,567.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.01.001.10;Viáticos de los funcionarios en comisión;10.0 - Aportes Nacion - Funcionamiento;$ 82,619,330.00;$ 97,432,844.00;$ 97,432,844.00;$ 97,432,844.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.01.002.12.02.01;Beneficios a los empleados a largo plazo administrativos;10.0 - Aportes Nacion - Funcionamiento;$ 0.00;$ 500,000.00;$ 403,574.00;$ 403,574.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.01.002.12.02.02;Beneficios a los empleados a largo plazo trabajadores oficiales;10.0 - Aportes Nacion - Funcionamiento;$ 970,645,026.00;$ 1,166,759,885.00;$ 764,657,023.00;$ 764,657,023.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.01.002.12.02.03;Beneficios a los empleados a largo plazo docentes;10.0 - Aportes Nacion - Funcionamiento;$ 0.00;$ 1,000,000.00;$ 13,014.00;$ 13,014.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.02.001;Aportes a la seguridad social en pensiones;10.0 - Aportes Nacion - Funcionamiento;$ 13,531,608,080.00;$ 8,016,128,355.00;$ 7,868,039,060.00;$ 7,868,039,060.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.02.002;Aportes a la seguridad social en salud;10.0 - Aportes Nacion - Funcionamiento;$ 9,547,392,171.00;$ 9,547,392,171.00;$ 5,502,953,502.00;$ 5,502,953,502.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.02.003;Aportes de cesantías ;10.0 - Aportes Nacion - Funcionamiento;$ 11,660,262,524.00;$ 11,635,262,524.00;$ 6,573,941,960.00;$ 6,573,941,960.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.02.004;Aportes a cajas de compensación familiar;10.0 - Aportes Nacion - Funcionamiento;$ 5,615,981,130.00;$ 5,615,981,130.00;$ 2,984,776,191.00;$ 2,984,776,191.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.02.005;Aportes generales al sistema de riesgos laborales;10.0 - Aportes Nacion - Funcionamiento;$ 879,635,044.00;$ 879,635,044.00;$ 526,570,896.00;$ 526,570,896.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.02.006;Aportes al ICBF;10.0 - Aportes Nacion - Funcionamiento;$ 4,211,983,979.00;$ 4,211,983,979.00;$ 2,273,034,594.00;$ 2,273,034,594.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.03.001.01.01;Vacaciones administrativos;10.0 - Aportes Nacion - Funcionamiento;$ 1,412,052,362.00;$ 1,412,052,362.00;$ 95,268,718.00;$ 95,268,718.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.03.001.01.02;Vacaciones docentes;10.0 - Aportes Nacion - Funcionamiento;$ 3,471,066,468.00;$ 920,729,527.14;$ 186,313,350.00;$ 186,313,350.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.03.001.01.03;Vacaciones trabajadores oficiales;10.0 - Aportes Nacion - Funcionamiento;$ 1,131,692,206.00;$ 1,131,050,708.00;$ 70,703,694.00;$ 70,703,694.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.03.001.03.01;Bonificación especial de recreación administrativos;10.0 - Aportes Nacion - Funcionamiento;$ 66,635,011.00;$ 66,635,011.00;$ 16,804,662.00;$ 16,804,662.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.03.001.03.02;Bonificación especial de recreación trabajadores oficiales;10.0 - Aportes Nacion - Funcionamiento;$ 59,527,561.00;$ 59,527,561.00;$ 3,617,211.00;$ 3,617,211.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.03.009;Prima técnica no salarial;10.0 - Aportes Nacion - Funcionamiento;$ 476,359,726.00;$ 476,359,726.00;$ 282,330,178.00;$ 282,330,178.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.01.03.090;Bonificación por productividad académica;10.0 - Aportes Nacion - Funcionamiento;$ 0.00;$ 117,284,158.00;$ 32,402,289.00;$ 32,402,289.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.01.001.01.01;Sueldo básico supernumerarios;10.0 - Aportes Nacion - Funcionamiento;$ 849,704,168.00;$ 849,704,168.00;$ 701,417,760.00;$ 701,417,760.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.01.001.01.02;Sueldo básico docentes ocasionales;10.0 - Aportes Nacion - Funcionamiento;$ 68,422,578,059.00;$ 68,422,638,377.00;$ 45,120,722,818.00;$ 45,120,722,818.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.01.001.01.03;Sueldo básico docentes catédraticos;10.0 - Aportes Nacion - Funcionamiento;$ 1,322,844,949.00;$ 4,322,744,949.00;$ 4,322,744,949.00;$ 4,322,744,949.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.01.001.01.04;Sueldo básico cátedra interna;10.0 - Aportes Nacion - Funcionamiento;$ 24,383,815.00;$ 24,383,815.00;$ 0.00;$ 0.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.01.001.04;Subsidio de alimentación;10.0 - Aportes Nacion - Funcionamiento;$ 0.00;$ 26,325,784.00;$ 21,030,758.00;$ 21,030,758.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.01.001.05;Auxilio de transporte;10.0 - Aportes Nacion - Funcionamiento;$ 49,294,588.00;$ 49,294,588.00;$ 47,709,998.00;$ 47,709,998.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.01.001.06.01;Prima de servicio supernumerarios;10.0 - Aportes Nacion - Funcionamiento;$ 119,903,896.00;$ 119,903,896.00;$ 81,269,258.00;$ 81,269,258.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.01.001.06.02;Prima de servicio docentes ocasionales;10.0 - Aportes Nacion - Funcionamiento;$ 2,170,200,419.00;$ 2,170,200,419.00;$ 1,589,237,139.00;$ 1,589,237,139.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.01.001.07;Bonificación por servicios prestados;10.0 - Aportes Nacion - Funcionamiento;$ 25,214,226.00;$ 25,214,226.00;$ 25,214,226.00;$ 25,214,226.00;31/08/2026
01 - ADMINISTRATIVA Y FINANCIERA;2.1.1 Gastos de Personal; - N/A;2.1.1.02.01.001.08.01.01;Prima de navidad supernumerarios;10.0 - Aportes Nacion - Funcionamiento;$ 4,545,023,779.00;$ 4,545,023,779.00;$ 14,491,948.00;$ 14,491,948.00;31/08/2026
