Unidad;Tipo de Gasto;Referencia;Operacion;Código recurso; Compromiso ; Valor pago 
12 - SECCIONAL DUITAMA;2.1.8 Tasas y Multas;CAJA MENOR - CONSTITUCION;CONSTITUCIÓN CAJA MENOR;20; $ 500,000 ; $ 500,000 
14 - SECCIONAL CHIQUINQUIRA;2.1.8 Tasas y Multas;CAJA MENOR - CONSTITUCION;CONSTITUCIÓN CAJA MENOR;20; $ 500,000 ; $ 500,000 
02 - INVESTIGACION Y EXTENSION;2.1.8 Tasas y Multas;GASTOS DIRECTOS - LIQUIDACIONES;IMPUESTOS, TASAS Y CONTRIBUCCIONES;32; $ 3,094,900 ; $ 3,094,900 
02 - INVESTIGACION Y EXTENSION;2.1.8 Tasas y Multas;CAJA MENOR - CONSTITUCION;CONSTITUCIÓN CAJA MENOR;32; $ 298,900 ; $ 298,900 
13 - SECCIONAL SOGAMOSO;2.1.8 Tasas y Multas;GASTOS DIRECTOS - LIQUIDACIONES;GRAVAMEN MOVIMIENTOS FINANCIEROS;33; $ 2,094,111 ; $ 2,094,111 
02 - INVESTIGACION Y EXTENSION;2.1.8 Tasas y Multas;GASTOS DIRECTOS - LIQUIDACIONES;GRAVAMEN MOVIMIENTOS FINANCIEROS;33; $ 1,756,647 ; $ 1,756,647 
08 - CIENCIAS AGROPECUARIAS;2.1.8 Tasas y Multas;GASTOS DIRECTOS - LIQUIDACIONES;GRAVAMEN MOVIMIENTOS FINANCIEROS;33; $ 995,406 ; $ 995,406 
09 - INGENIERIA;2.1.8 Tasas y Multas;GASTOS DIRECTOS - LIQUIDACIONES;GRAVAMEN MOVIMIENTOS FINANCIEROS;33; $ 41,111 ; $ 41,111 
04 - CIENCIAS DE LA EDUCACION;2.1.8 Tasas y Multas;GASTOS DIRECTOS - LIQUIDACIONES;GRAVAMEN MOVIMIENTOS FINANCIEROS;34; $ 122,736 ; $ 122,736 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS DE PERSONAL - OPS;SERVICIOS PROFESIONALES;12; $ 2,910,113,063 ; $ 1,428,402,985 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS;SUMINISTRO DE BIENES;12; $ 1,961,334,296 ; $ 70,000,000 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS;CONTRATO DE OBRA - MANTENIMIENTO - SUMINISTRO;12; $ 1,204,857,932 ; $ 231,889,577 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS;CONSTRUCCION - EQUIPOS, MATERIALES Y SUMINISTROS;12; $ 1,040,511,967 ; $ 94,522,358 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS;SERVICIOS DE COMUNICACIONES;12; $ 349,162,326 ; $ 157,579,896 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;ORDENES DE COMPRA;SUMINISTRO DE BIENES;12; $ 224,216,120 ; $ 85,624,000 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;ORDENES DE SERVICIOS;SERVICIOS DE COMUNICACIONES;12; $ 208,373,669 ; $ 160,431,569 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;COMISIONES DE PERSONAL;COMISIÓN DE SERVICIOS AL EXTERIOR;12; $ 166,257,421 ; $ 166,257,421 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;PRESTACION DE SERVICIOS - RESOLUCIONES;INCENTIVOS MONITORÍAS;12; $ 134,952,800 ; $ 124,542,085 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS;SERVICIOS DE MANTENIMIENTO;12; $ 102,079,849 ; $ -   
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS;OTROS SERVICIOS;12; $ 98,175,000 ; $ -   
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS;CONTRATO DE OBRA - SERVICIO, MATERIALES Y EQUIPOS;12; $ 67,774,927 ; $ 53,826,777 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS;SERVICIOS PROFESIONALES;12; $ 50,000,000 ; $ 5,950,000 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;ORDENES DE SERVICIOS;SERVICIOS DE MANTENIMIENTO;12; $ 45,802,389 ; $ 15,295,890 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;COMISIONES DE PERSONAL;COMISIÓN DE SERVICIOS AL INTERIOR;12; $ 33,229,768 ; $ 32,437,448 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS;SERVICIOS DE PUBLICACIÓN;12; $ 29,783,962 ; $ 27,627,975 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;AVANCES;AVANCE DE BIENES Y SERVICIOS;12; $ 25,783,096 ; $ 19,546,616 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;GASTOS DIRECTOS - LIQUIDACIONES;INSCRIPCIONES A SEMINARIOS, CURSOS, CONGRESOS Y OTROS;12; $ 17,066,480 ; $ 5,354,480 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;GASTOS DIRECTOS - LIQUIDACIONES;IMPUESTOS, TASAS Y CONTRIBUCCIONES;12; $ 6,574,500 ; $ 6,574,500 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;LIQUIDACIÓN DE INVITACIÓN;APOYO PARTICIPACION EVENTOS ACADEMICOS;12; $ 6,229,904 ; $ 6,229,904 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;GASTOS DIRECTOS - LIQUIDACIONES;DERECHOS Y AFILIACIONES;12; $ 900,000 ; $ -   
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS DE PERSONAL - OPS;SERVICIOS PROFESIONALES;16; $ 2,718,384,920 ; $ 1,344,206,013 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS;SUMINISTRO DE BIENES;16; $ 1,224,780,328 ; $ 187,759,868 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS;CONTRATO DE OBRA - CONSTRUCCIÓN;16; $ 945,840,280 ; $ -   
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS;SERVICIOS DE COMUNICACIONES;16; $ 934,398,997 ; $ 934,398,997 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS;SERVICIOS DE TRANSPORTE;16; $ 319,914,992 ; $ 102,057,821 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;ORDENES DE COMPRA;SUMINISTRO DE BIENES;16; $ 290,982,704 ; $ 204,372,930 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS;SERVICIOS PROFESIONALES;16; $ 160,628,020 ; $ 70,000,000 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;GASTOS DIRECTOS - LIQUIDACIONES;APOYO ECONÓMICO ESTUDIANTES;16; $ 126,872,067 ; $ 108,728,067 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS;CONTRATO DE OBRA - SERVICIO, MATERIALES Y EQUIPOS;16; $ 101,714,023 ; $ -   
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS;CONTRATO DE OBRA - MANTENIMIENTO - SUMINISTRO;16; $ 91,797,314 ; $ -   
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;ORDENES DE SERVICIOS;OTROS SERVICIOS;16; $ 65,000,000 ; $ 55,000,000 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;ORDENES DE SERVICIOS;SERVICIOS DE COMUNICACIONES;16; $ 55,043,344 ; $ 23,588,000 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;GASTOS DIRECTOS - LIQUIDACIONES;DERECHOS Y AFILIACIONES;16; $ 47,969,485 ; $ 47,969,485 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;ORDENES DE SERVICIOS;SERVICIOS DE MANTENIMIENTO;16; $ 45,003,687 ; $ -   
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;ORDENES DE SERVICIOS;ARRENDAMIENTO DE BIENES INMUEBLES;16; $ 32,514,032 ; $ 32,514,032 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;COMISIONES DE PERSONAL;COMISIÓN DE SERVICIOS AL EXTERIOR;16; $ 27,218,849 ; $ 27,218,849 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;ORDENES DE SERVICIOS;SERVICIOS DE IMPRESIÓN;16; $ 23,449,183 ; $ 20,841,000 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;LIQUIDACIÓN DE INVITACIÓN;APOYO PARTICIPACION EVENTOS ACADEMICOS;16; $ 14,740,000 ; $ 10,739,405 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;GASTOS DIRECTOS - LIQUIDACIONES;IMPUESTOS, TASAS Y CONTRIBUCCIONES;16; $ 11,990,023 ; $ 11,990,023 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;GASTOS DIRECTOS - LIQUIDACIONES;SERVICIOS INTERNOS;16; $ 7,900,000 ; $ -   
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;COMISIONES DE PERSONAL;COMISIÓN DE SERVICIOS AL INTERIOR;16; $ 6,605,210 ; $ 4,111,260 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;PRESTACION DE SERVICIOS - RESOLUCIONES;RESOLUCION DE INCENTIVOS;16; $ 4,950,000 ; $ -   
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;AVANCES;AVANCE DE BIENES Y SERVICIOS;16; $ 4,664,319 ; $ 4,664,319 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;GASTOS DIRECTOS - LIQUIDACIONES;HONORARIOS;16; $ 3,751,549 ; $ 3,751,549 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;ORDENES DE SERVICIOS;SERVICIOS DE TRANSPORTE;16; $ 3,000,000 ; $ -   
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;GASTOS DIRECTOS - LIQUIDACIONES;INSCRIPCIONES A SEMINARIOS, CURSOS, CONGRESOS Y OTROS;16; $ 1,000,000 ; $ -   
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS DE PERSONAL - OPS;SERVICIOS PROFESIONALES;16.1; $ 90,878,792 ; $ -   
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;ORDENES DE SERVICIOS;SUMINISTRO DE HOSPEDAJE Y ALIMENTACIÓN;16.1; $ 76,827,895 ; $ -   
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS DE PERSONAL - OPS;SERVICIOS PROFESIONALES;40; $ 745,435,556 ; $ 356,464,060 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS;SERVICIOS DE COMUNICACIONES;40; $ 515,152,340 ; $ 243,615,694 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS;SUMINISTRO DE BIENES;40; $ 371,602,828 ; $ 317,596,627 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;ORDENES DE COMPRA;SUMINISTRO DE BIENES;40; $ 247,183,122 ; $ 23,200,169 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;GASTOS DIRECTOS - LIQUIDACIONES;INSCRIPCIONES A SEMINARIOS, CURSOS, CONGRESOS Y OTROS;40; $ 241,765,650 ; $ 241,765,650 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;GASTOS DIRECTOS - LIQUIDACIONES;APOYO ECONÓMICO ESTUDIANTES;40; $ 208,357,695 ; $ 208,357,695 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS;SERVICIOS DE TRANSPORTE;40; $ 200,000,000 ; $ 173,126,137 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;CONTRATOS;CONTRATO DE OBRA - CONSTRUCCIÓN;40; $ 186,358,772 ; $ 186,358,772 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;ORDENES DE SERVICIOS;SERVICIOS PROFESIONALES;40; $ 136,744,579 ; $ 101,299,875 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;AVANCES;AVANCE DE BIENES Y SERVICIOS;40; $ 132,093,351 ; $ 121,959,071 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;ORDENES DE SERVICIOS;SERVICIOS DE COMUNICACIONES;40; $ 84,418,499 ; $ 15,000,000 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;PRESTACION DE SERVICIOS - RESOLUCIONES;INCENTIVOS MONITORÍAS;40; $ 65,350,732 ; $ 58,952,759 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;COMISIONES DE PERSONAL;COMISIÓN DE SERVICIOS AL INTERIOR;40; $ 46,721,600 ; $ 45,583,665 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;COMISIONES DE PERSONAL;COMISIÓN DE SERVICIOS AL EXTERIOR;40; $ 21,182,788 ; $ 21,182,788 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;LIQUIDACIÓN DE INVITACIÓN;APOYO PARTICIPACION EVENTOS ACADEMICOS;40; $ 9,000,000 ; $ 5,500,000 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;GASTOS DIRECTOS - LIQUIDACIONES;SERVICIOS INTERNOS;40; $ 7,390,000 ; $ 7,390,000 
01 - ADMINISTRATIVA Y FINANCIERA;2.3 Gastos de Inversión;GASTOS DIRECTOS - LIQUIDACIONES;DERECHOS Y AFILIACIONES;40; $ 2,100,000 ; $ -   
