Vigencia;Unidad;Concepto;Recurso;Total recaudo;Variacion;Tipo
2024;01 - ADMINISTRATIVA Y FINANCIERA;Artículo 87 Ley 30 de 1992 - CESU;18-Articulo 87 CESU;$ 1.067.037.785;-;Histórico
2025;01 - ADMINISTRATIVA Y FINANCIERA;Artículo 87 Ley 30 de 1992 - CESU;18-Articulo 87 CESU;$ 457.065.634;-57.17%;Histórico
2026;01 - ADMINISTRATIVA Y FINANCIERA;Artículo 87 Ley 30 de 1992 - CESU;18-Articulo 87 CESU;$ 1.573.078.344;+244.17%;Base Referencia
2027;01 - ADMINISTRATIVA Y FINANCIERA;Artículo 87 Ley 30 de 1992 - CESU;18-Articulo 87 CESU;$ 1.667.463.045;+6.00%;Proyectado (+6.0% Macro)
